Property_ID_Raw,Sale_Counter,Street_Number,Street_Name,Suburb,Postcode,Land Size,Contract_Date,Settlement_Date,Sale_Price,Zoning,Property_type,Dealing_Number,Contract_Year,Days_to_Settlement,Land Size Original
4430759,65,180,GEORGE ST,Parramatta,2150,89.0,2026-05-12,2026-08-04,840000,,RESIDENCE,AW347150,2026,84,89.0
4430759,67,180,GEORGE ST,Parramatta,2150,109.0,2026-07-15,2026-08-04,880000,,RESIDENCE,AW348219,2026,20,109.0
4430759,68,180,GEORGE ST,Parramatta,2150,103.0,2026-07-11,2026-08-06,832000,,RESIDENCE,AW356335,2026,26,103.0
4012404,75,32,HUNTER ST,Parramatta,2150,74.0,2026-03-03,2026-08-03,570000,,RESIDENCE,AW345397,2026,153,74.0
3968952,76,1 A,MORTON ST,Parramatta,2150,104.5,2026-06-22,2026-08-04,505000,,RESIDENCE,AW347815,2026,43,104.5
3965820,77,54,MACARTHUR ST,Parramatta,2150,129.0,2026-06-22,2026-08-04,625000,,RESIDENCE,AW348019,2026,43,129.0
3985079,79,42,MACARTHUR ST,Parramatta,2150,104.5,2026-07-10,2026-08-03,640000,,RESIDENCE,AW346191,2026,24,104.5
4284539,85,88,CHURCH ST,Parramatta,2150,65.0,2026-06-29,2026-08-04,520000,,RESIDENCE,AW348098,2026,36,65.0
4135005,1,13,OSCAR ST,Chatswood,2067,145.0,2026-06-30,2026-08-11,2450000,,RESIDENCE,AW365668,2026,42,145.0
6041724,2,15,ELLIS ST,Chatswood,2067,115.0,2026-06-26,2026-08-07,1830000,,RESIDENCE,AW360414,2026,42,115.0
951381,6,91,BEACONSFIELD RD,Chatswood,2067,736.5,2026-07-28,2026-08-10,3200000,R2,RESIDENCE,AW362126,2026,13,736.5
954176,7,28,CLAUDE ST,Chatswood,2067,170.0,2026-03-26,2026-08-07,2750000,,RESIDENCE,AW359434,2026,134,170.0
973393,13,37,VICTOR ST,Chatswood,2067,170.0,2026-06-22,2026-08-07,835000,,RESIDENCE,AW359763,2026,46,170.0
960958,15,274,HIGH ST,Chatswood,2067,520.15,2026-06-30,2026-08-11,3510000,R2,RESIDENCE,AW365442,2026,42,520.15
962066,17,19,JOHNSON ST,Chatswood,2067,170.0,2026-05-12,2026-08-10,992000,,RESIDENCE,AW362560,2026,90,170.0
3123262,19,18,JACQUES ST,Chatswood,2067,170.0,2026-06-26,2026-08-07,1575000,,RESIDENCE,AW358354,2026,42,170.0
3748624,22,7,RAILWAY ST,Chatswood,2067,129.0,2026-03-31,2026-08-07,2150000,,RESIDENCE,AW359028,2026,129,129.0
4285070,24,18,FREEMAN RD,Chatswood,2067,111.0,2026-06-26,2026-08-10,1300000,,RESIDENCE,AW362348,2026,45,111.0
